,,,,,,,,,,,,,,,,,
Contactos,,,,,Clientes,,,,,Documentos,,,,,Siniestros,,
Campo,Descripcion,Comentarios,,,Campo,Descripcion,Comentarios,,,Campo,Descripcion,Comentarios,,,Campo,Descripción,Comentarios
CatContactos.IDCont,Contacto,-1 Para Nuevo,,,CatClientes.IDCli,IDCliente,-1 Para Nuevo,,,DatDocumentos.IDDocto,Documento,-1 Para Nuevo  / Obligatorio,,,IDSiniestro,Siniestro,-1 Para Nuevo  / Obligatorio
CatContactos.TipoEnt,Entidad,0 PF 1 PM / Obligatorio,,,CatClientes.IDGrupo,Grupo,Catalogo / Obligatorio,,,DatDocumentos.IDPolMta,Póliza Maestra,Catalogo,,,TipoSin,Tipo de Siniestro,
CatContactos.ApellidoP,Apellido Paterno,Obligatorio,,,CatClientes.IDSGrupo,Sub Grupo,Catalogo,,,DatDocumentos.TipoDocto,Tipo Documento,0 Orden 1 Poliza *,,,IDDocto,ID de Documento,
CatContactos.ApellidoM,Apellido Materno,,,,CatClientes.IDSSGrupo,Sub Sub Grupo,Catalogo,,,DatDocumentos.Solicitud,Solicitud,No. De Solicitud,,,IDInc,ID del Inciso en caso de Tener,
CatContactos.Nombre,Nombre(s),Obligatorio,,,CatClientes.IDEjecut,Ejecutivo de Cuenta,Catalogo / Obligatorio,,,DatDocumentos.Documento,Documento,Documento / No. De Poliza,,,IDMon,ID de Moneda,
CatContactos.Titulo,Titulo,,,,CatClientes.Calidad,Calidad de Cliente,Catalogo,,,DatDocumentos.DAnterior,Anterior,,,,NumSiniestro,Numero de Siniestro,
CatContactos.FechaNac,Fecha Nacimiento,dd/mm/yyyy,,,CatClientes.IDEmpresaC,Empresa de Cobro,Catalogo / IDCont,,,DatDocumentos.DPosterior,Posterior,,,,FPSintoma,Fecha Reporte o Primer Sintoma,
CatContactos.Sexo,Sexo,CAtalogo 0 Mas 1 Fem,,,CatClientes.IDNombreC,Contacto de Cobro,Catalogo / IDCont,,,DatDocumentos.IDCli,Cliente,IDCli / Catalogo,,,FReclamacion,Fecha de Reclamacion,
CatContactos.EdoCivil,Estado Civil,,,,CatClientes.Horario,Horario de Cobro,,,,DatDocumentos.IDDir,Dirección,IDDir / Catalogo,,,FElaboracion,Fecha de Elaboracion,
